업무명,카테고리,주기,현재소요시간(h),반복성(1-5),AI자동화가능성(1-5),비즈니스영향도(1-5),우선순위점수,AI적용방식,예상절감시간(h),비고
주간 수익률 리포트 작성,리포팅,주간,4,5,5,4,100,SQL→시각화→요약문 자동생성,2.5,SQL 템플릿화 + LLM 요약
월간 고객세그먼트 분석,탐색분석,월간,8,4,4,5,80,클러스터링 파이프라인 + 해석 자동화,4,모델 재학습 주기 설정 필요
이상거래 탐지 리뷰,모니터링,일간,2,5,4,5,100,룰 + ML 이상탐지 → 원인 후보 자동생성,1,오탐률 관리 핵심
유관부서 데이터 질의 대응,질의대응,수시,1.5,5,4,3,60,FAQ→SQL 자동생성→검증→답변,0.8,질문 유형 분류 선행
캠페인 성과 분석,탐색분석,월간,6,3,3,4,36,대시보드 자동갱신 + 인사이트 초안,2,마케팅팀 협업 필요
신규 상품 수익성 모델링,모델링,분기,16,2,3,5,30,피처엔지니어링 자동화 + 모델 비교,4,도메인 지식 필수
경영진 보고자료 작성,리포팅,월간,5,4,4,5,80,데이터→차트→핵심문장 자동생성,3,검증 체크리스트 필수
고객 이탈 예측 갱신,모델링,월간,10,3,4,4,48,학습→평가→리포트 파이프라인화,5,성능 모니터링 자동화
일일 시장 모니터링 요약,모니터링,일간,1,5,5,3,75,시장 데이터→요약문 자동생성,0.7,장 마감 후 자동 트리거
,,,,,,,,,,"[작성법] 우선순위점수 = 반복성 × AI자동화가능성 × 비즈니스영향도"
